index,Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
136,1966,ELLA,07-22-66,07-28-66,7/22 - 7/28,35,1008.0,Tropical Storm
137,1966,DOROTHY,07-21-66,07-31-66,7/21 - 7/31,75,989.0,Hurricane
138,1966,GRETA,09-01-66,09-06-66,9/1 - 9/6,45,1004.0,Tropical Storm
139,1966,FAITH,08-21-66,09-07-66,8/21 - 9/7,105,950.0,Hurricane
140,1966,HALLIE,09-20-66,09-21-66,9/20 - 9/21,50,997.0,Tropical Storm
141,1966,JUDITH,09-27-66,09-30-66,9/27 - 9/30,40,1007.0,Tropical Storm
142,1966,INEZ,09-21-66,10-11-66,9/21 - 10/11,145,927.0,Hurricane
143,1966,KENDRA,10-03-66,10-11-66,10/3 - 10/11,30,,Tropical Depression
144,1966,LOIS,11-04-66,11-14-66,11/4 - 11/14,75,983.0,Hurricane
145,1967,ARLENE,08-28-67,09-05-67,8/28 - 9/5,80,982.0,Hurricane
146,1967,CHLOE,09-04-67,09-21-67,9/4 - 9/21,95,958.0,Hurricane
147,1967,DORIA,09-04-67,09-21-67,9/4 - 9/21,85,973.0,Hurricane
148,1967,BEULAH,09-05-67,09-24-67,9/5 - 9/24,140,923.0,Hurricane
149,1967,EDITH,09-26-67,10-01-67,9/26 - 10/1,45,1000.0,Tropical Storm
150,1967,FERN,10-01-67,10-04-67,10/1 - 10/4,65,987.0,Hurricane
151,1967,GINGER,10-05-67,10-08-67,10/5 - 10/8,45,1011.0,Tropical Storm
152,1967,HEIDI,10-19-67,11-02-67,10/19 - 11/2,75,981.0,Hurricane
153,1968,ABBY,06-01-68,06-13-68,6/1 - 6/13,65,992.0,Hurricane
154,1968,BRENDA,06-18-68,06-26-68,6/18 - 6/26,70,990.0,Hurricane
155,1968,CANDY,06-22-68,06-26-68,6/22 - 6/26,60,995.0,Tropical Storm
156,1968,DOLLY,08-10-68,08-17-68,8/10 - 8/17,75,985.0,Hurricane
157,1968,EDNA,09-13-68,09-17-68,9/13 - 9/17,60,1012.0,Tropical Storm
158,1968,FRANCES,09-23-68,09-29-68,9/23 - 9/29,50,1001.0,Tropical Storm
159,1968,GLADYS,10-13-68,10-21-68,10/13 - 10/21,85,977.0,Hurricane
160,1970,ALMA,05-17-70,05-27-70,5/17 - 5/27,65,993.0,Hurricane
161,1970,BECKY,07-19-70,07-23-70,7/19 - 7/23,55,1003.0,Tropical Storm
